Раздел 1,Раздел 2,Бренд,Наименование товара,Картинка анонса,Подробная картинка,Галерея,Видео RU,Видео EN,Описание анонса,Подробное описание,Толщина,Ширина,Длина,Класс,Фаска,Площадь одной плашки,Кол-во плашек в пачке,Площадь в пачке,Класс эмиссии (экологичности),Замки,Видео,Цена,Тип карточки,Единица изменения,Раздел 3,M2 в пачке,Материал,Высота,Деформационный шов,,Длина 1 Шт,Покрытие,Оттенок,Высота полотна,Ширина полотна,Лакобель,Цвет Лакобели,Сатинато,Зеркало Люкс,Класс,Конструкция
ZADOOR,Art-lite,ZADOOR,ПГ Chaos RAL 7047,,/img/zadoor/art-lite/пг-chaos/ПГ Chaos RAL 7047.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Chaos,,,,,,,Эмаль Renner,RAL 7047,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПГ Chaos RAL 7044,,/img/zadoor/art-lite/пг-chaos/ПГ Chaos RAL 7044.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Chaos,,,,,,,Эмаль Renner,RAL 7044,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПГ Chaos Белая эмаль,,/img/zadoor/art-lite/пг-chaos/ПГ Chaos Белая эмаль.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Chaos,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПГ Венеция Белая эмаль,,/img/zadoor/art-lite/пг-венеция/ПГ Венеция белая эмаль.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Венеция,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПГ Венеция Жемчужно-перламутровый,,/img/zadoor/art-lite/пг-венеция/ПГ Венеция-2 жемчужно-перламутровый.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Венеция,,,,,,,Эмаль Renner,Жемчужно-перламутровый,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО Chaos Белая эмаль,,/img/zadoor/art-lite/по-chaos/ПО Chaos белая эмаль черный лакобель.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО Chaos,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,да,Черный,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО Chaos Белая эмаль,,,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО Chaos,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,да,Белый,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО А2 RAL 7047,,/img/zadoor/art-lite/по-а2/ПО А2 RAL7047 Металик Silver Grey.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО А2,,,,,,,Эмаль Renner,RAL 7047,2300 мм,800 мм,да,Серебристо-серый,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО А2 RAL 7044,,/img/zadoor/art-lite/по-а2/ПО А2 RAL 7044.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО А2,,,,,,,Эмаль Renner,RAL 7044,2300 мм,800 мм,да,Черный,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО А2 Белая эмаль,,"/img/zadoor/art-lite/по-а2/ПО A2 Белая эмаль, белая лакобель.jpg",,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО А2,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,да,Белый,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО А2 Белая эмаль,,/img/zadoor/art-lite/по-а2/ПО А2 Белая эмаль черный лакобель.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",41 мм,,,,,,,,,,,300,,,ПО А2,,,,,,,Эмаль Renner,Белая эмаль,2301 мм,801 мм,да,Черный,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПО А2 Жемчужно-перламутровый,,/img/zadoor/art-lite/по-а2/ПО_A2_жемчужно-перламутровый_biege_light.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПО А2,,,,,,,Эмаль Renner,Жемчужно-перламутровый,2300 мм,800 мм,да,Светло-бежевый,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Art-lite,ZADOOR,ПГ Elen Белая эмаль,,/img/zadoor/art-lite/пг-elen/ПГ Elen белая эмаль.jpg,,,,,"Art Lite - коллекция создана с учетом последних тенденций современных интерьеров. Декор полотен выполнен методом фрезерования. Прямые линии, никаких лишних деталей. Полотна комплектуются не только телескопическим коробом и наличниками, но и компланарным погонажем. Он позволяет установить полотно вровень со стеной.",40 мм,,,,,,,,,,,300,,,ПГ Elen,,,,,,,Эмаль Renner,Белая эмаль,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K11 Дуб натуральный поперечный,,/img/zadoor/квалитет/k11/К11_mb_дуб_натуральный.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K11,,,,,,,Полипропилен Renolit,Дуб натуральный поперечный,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K11 Дуб серый поперечный,,/img/zadoor/квалитет/k11/К11_mb_дуб_серый.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K11,,,,,,,Полипропилен Renolit,Дуб серый поперечный,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K11 ALU BLACK Дуб серый поперечный,,/img/zadoor/квалитет/k11-alu-black/K11_ALU_Black_mb_дуб_серый.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K11 ALU BLACK,,,,,,,Полипропилен Renolit,Дуб серый поперечный,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K2 ALU BLACK Белый Матовый,,/img/zadoor/квалитет/k2-alu-black/К2_ALU_Black_Black_Lacobel_белый.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K2 ALU BLACK,,,,,,,Полипропилен Renolit,Белый Матовый,2300 мм,800 мм,да,Черный,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K2 ALU BLACK Дуб натуральный продольный,,/img/zadoor/квалитет/k2-alu-black/K2_ALU_Black_дуб_натуральный.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K2 ALU BLACK,,,,,,,Полипропилен Renolit,Дуб натуральный продольный,2300 мм,800 мм,да,Черный,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K7 Белый Матовый,,/img/zadoor/квалитет/k7/К7_белый.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K7,,,,,,,Полипропилен Renolit,Белый Матовый,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
ZADOOR,Квалитет,ZADOOR,K7 Дуб натуральный продольный,,/img/zadoor/квалитет/k7/K7_дуб_натуральный.jpg,,,,,"Двери серии Квалитет — это современное решение для любого интерьера.
Качественное полотно в лучших традициях фабрики выполненное из топовых материалов отделки:
•        Японское покрытие TOPAN
•        ABS Кромка 2мм от немецкого производителя Dollken
•        Полиуретановый скотч Kleiberit
МДФ Высочайшего качества от лучших производителей и мелкоячеистое сотовое заполнение, придающее дополнительную жесткость и шумоизоляцию.
Преимущества покрытий Toppan
1.        Водоотталкивающие свойства – благодаря содержанию силикона в лаке покрытие
получается водоотталкивающим
2.        Покрытие имитирует дерево – превосходный дизайн поверхности с имитацией
оптического эффекта натуральной древесины
3.        Качественный состав – в основе японская бумага высокой плотности, не пропитанная
смолами
4.        Экологичность – материал безопасен для здоровья человека и окружающей среды, как
процессе производства и эксплуатации, так и при утилизации
5.        Стойкие к повреждениям – специальное лаковое покрытие защитит поверхность от
механических и химических воздействий
6.        Устойчивость к ультрафиолету – покрытие выдержит прямое воздействие УФ-лучей, не
7.        выцветает и не меняет свойств под прямыми солнечными лучами
",40 мм,,,,,,,,,,,300,,,K7,,,,,,,Полипропилен Renolit,Дуб натуральный продольный,2300 мм,800 мм,нет,нет,нет,нет,Премиум,Каркасно-стоевая
