Раздел 1,Раздел 2,Бренд,Наименование товара,Картинка анонса,Подробная картинка,Галерея,Видео RU,Видео EN,Описание анонса,Подробное описание,Толщина,Ширина,Длина,Класс,Фаска,Площадь одной плашки,Кол-во плашек в пачке,Площадь в пачке,Класс эмиссии (экологичности),Замки,Видео,Цена,Тип карточки,Единица изменения,Раздел 3,M2 в пачке,Материал,Высота,Деформационный шов,,Длина 1 Шт,Покрытие,Оттенок,Высота полотна,Ширина полотна,Лакобель,Цвет Лакобели,Сатинато,Зеркало Люкс,Класс,Остеклинение,Конструкция
ZADOOR,PORTIKA,ZADOOR,Классико-12.1 Флекс Эмаль Shellac White,,/img/zadoor/portika/klassiko/Классико 12-1 Shellac White.jpg,,,,,"FlexEmal - инновационное, гладкое покрытие на основе ПЭТ, превосходящее визуально и тактильно эмаль.",36 мм,,,,,,,,,,,,,,Классико,,,,,,,FlexEmal,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Классико-13.1 Флекс Эмаль Shellac White Milling White I,,/img/zadoor/portika/klassiko/Классико 13-1 Shellac White.jpg,,,,,"FlexEmal - инновационное, гладкое покрытие на основе ПЭТ, превосходящее визуально и тактильно эмаль.",36 мм,,,,,,,,,,,,,,Классико,,,,,,,FlexEmal,,2000,600-800,нет,,,,Премиум,да,
ZADOOR,PORTIKA,ZADOOR,Классико-32 ПП Alaska,,/img/zadoor/portika/klassiko/Классико-32 ПП Alaska.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Классико-33 ПП Alaska White Сrystal,,/img/zadoor/portika/klassiko/Классико-33 ПП Alaska White Сrystal.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Классико-42 ЭКО Ice,,/img/zadoor/portika/klassiko/Классико-42 ЭКО Ice.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Классико-43 ЭКО Ice Milling White II,,/img/zadoor/portika/klassiko/Классико-43 ЭКО Ice Milling White II.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,да,
ZADOOR,PORTIKA,ZADOOR,Классико-82 ПП Alaska,,/img/zadoor/portika/klassiko/Классико-82 ПП Alaska.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Классико-83 ПП Alaska White Сrystal,,/img/zadoor/portika/klassiko/Классико-83 ПП Alaska White Сrystal.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",36 мм,,,,,,,,,,,,,,Классико,,,,,,,Monochrome,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Неоклассико-2 PRO ЭКО Ice,,/img/zadoor/portika/neoklassiko/Неоклассико-2 PRO ЭКО Ice.jpg,,,,,"GlossMat - гладкое покрытие с легкой древесной структурой с уникальным эффектом глянца и матовости, на основе 
 полипропилена.",36 мм,,,,,,,,,,,,,,Неоклассико,,,,,,,GlossMat,,2000,600-800,нет,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Неоклассико-3 PRO ЭКО Ice Milling White II,,/img/zadoor/portika/neoklassiko/Неоклассико-3 PRO ЭКО Ice Milling White II.jpg,,,,,"GlossMat - гладкое покрытие с легкой древесной структурой с уникальным эффектом глянца и матовости, на основе 
 полипропилена.",36 мм,,,,,,,,,,,,,,Неоклассико,,,,,,,GlossMat,,2000,600-800,нет,,,,Премиум,да,
ZADOOR,PORTIKA,ZADOOR,Порта-51 4AB ПП Alaska,,/img/zadoor/portika/porta/Порта-51 4AB ПП Alaska Black Star.jpg,,,,,"Monochrome - гладкое покрытие на основе полипропилена, имитирующее эмаль",38 мм,,,,,,,,,,,,,,Порта,,,,,,,Monochrome,,2000,600-800,Black Star,,,,Премиум,нет,
ZADOOR,PORTIKA,ZADOOR,Порта-51 4AB ПП Alpik Oak,,/img/zadoor/portika/porta/Порта-51 4AB ПП Alpik Oak Black Star.jpg,,,,,"GlossMat - гладкое покрытие с легкой древесной структурой с уникальным эффектом глянца и матовости, на основе 
 полипропилена.",38 мм,,,,,,,,,,,,,,Порта,,,,,,,GlossMat,,2000,600-800,Black Star,,,,Премиум,нет,